1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2307.09964_1880959_1	However, the processes of training AI models and inferring from them require high computational resources, which pose a significant challenge in the current energy efficiency societal demand.
2307.10198_1881193_7	Our analysis shows that by 2018, the time lag between China and the USA in addressing AI research topics had evaporated.
2307.10315_1881310_1	This paper argues that training AI systems with absolute constraints -- which forbid certain acts irrespective of the amount of value they might produce -- may make considerable progress on many AI safety problems in principle.
2307.10490_1881485_2	When the user asks the (unmodified, benign) model about the perturbed image or audio, the perturbation steers the model to output the attacker-chosen text and/or make the subsequent dialog follow the attacker's instruction.
2307.10700_1881695_0	  Large language models (LLMs) are dramatically influencing AI research, spurring discussions on what has changed so far and how to shape the field's future.
2307.12981_1883976_5	To efficiently train 3D-LLMs, we first utilize a 3D feature extractor that obtains 3D features from rendered multi- view images.
2307.12981_1883976_6	Then, we use 2D VLMs as our backbones to train our 3D-LLMs.
2307.14430_1885425_9	We apply our skills framework on the recent RedPajama dataset to continually pre-train a 3B-parameter LM, achieving higher accuracy on the LM Evaluation Harness with 1B tokens than the baseline approach of sampling uniformly over data sources with 3B tokens.
2307.16118_1887113_4	We initially train a single-task RL expert model, sample expert data in the environment, and subsequently utilize a mixed multi-task dataset for offline GPT training.
2307.16368_1887363_7	It first recognizes the actions already performed in the observed videos and then asks an LLM to predict the future actions via conditioned generation, or to infer the goal and plan the whole procedure by chain-of-thought prompting.
2307.16372_1887367_6	In addition, we trained a transformer-based music captioning model with the dataset and evaluated it under zero-shot and transfer-learning settings.
2308.00624_1888516_6	We have gathered a substantial amount of Chinese corpus to train the model and have also optimized its structure.
2308.01154_1889046_3	We successfully trained a light language model to learn these tasks and ran a number of experiments to investigate the extrapolation capabilities and internal information processing.
2308.01240_1889132_0	  In this work, we evaluate 10 open-source instructed LLMs on four representative code comprehension and generation tasks.
2308.01414_1889306_3	Meanwhile, there has not been any dataset of renewable energy for training LLMs.
2308.01430_1889322_2	To train FinVis-GPT, a financial task oriented dataset was generated for pre-training alignment and instruction tuning, comprising various types of financial charts and their corresponding descriptions.
2308.01497_1889389_4	Given the enormous and non curated text corpora used to train LLMs, a serious obstacle to designing tests is the requirement of finding novel yet high quality metaphors that are unlikely to have been included in the training data.
2308.01727_1889619_4	They trained different model architectures, including LLaMA, BERT and LongFormer and evaluated their performance.
2308.03314_1891206_7	To enhance accuracy, GPTScan further instructs GPT to intelligently recognize key variables and statements, which are then validated by static confirmation.
2308.03740_1891632_3	In addition, these results suggest that nation-states -- even those conducting many large-scale influence operations per year -- are unlikely to benefit economically from training custom LLMs specifically for use in influence operations.
2308.04386_1892278_5	Experimental results on the SummEval benchmark demonstrate that CSEM can effectively train an evaluation model without human-labeled data.
2308.04430_1892322_3	SILO is built by (1) training a parametric LM on Open License Corpus (OLC), a new corpus we curate with 228B tokens of public domain and permissively licensed text and (2) augmenting it with a more general and easily modifiable nonparametric datastore (e.g., containing copyrighted books or news) that is only queried during inference.
2308.04515_1892407_1	One way to increase generalization to new scenes is to automatically label target data, which can then be used for training a detector model.
2308.04711_1892603_3	The first method ($\textit{RR}$) involves training a Rationale Ranking model to score both generated rationales and retrieved contexts with respect to relevance and truthfulness.
2308.04711_1892603_5	For the second method ($\textit{RATD}$) we utilise retrieval-augmented training datasets developed by Hartill et al. 2023 to train a smaller Reasoning model such that it becomes proficient at utilising relevant information from longer text sequences that may be only partially evidential and frequently contain many irrelevant sentences.
2308.05061_1892953_4	Also, we introduce a novel approach to train a language-model-like architecture, or directly fine-tune existing language models, for in-context operator learning.
2308.06212_1894104_9	LLMCRS also designs schema-based instruction, demonstration-based instruction, dynamic sub-task and model matching, and summary-based generation to instruct LLM to generate desired results in the workflow.
2308.06966_1894858_6	We developed EcomGPT with different parameter scales by training the backbone model BLOOMZ with the EcomInstruct.
2308.07758_1895650_3	Specifically, for mathematical tasks, we mask a number in the question and ask the LLM to answer a backward question created by a simple template, i.e., to predict the masked number when a candidate answer is provided.
2308.08239_1896131_3	The instructions are reconstructed from a collection of public datasets to teach the LLMs to memorize and retrieve past dialogues with structured memos, leading to enhanced consistency when participating in future conversations.
2308.08241_1896133_0	  This work summarizes two ways to accomplish Time-Series (TS) tasks in today's Large Language Model (LLM) context: LLM-for-TS (model-centric) designs and trains a fundamental large model, or fine-tunes a pre-trained LLM for TS data; TS-for-LLM (data-centric) converts TS into a model-friendly representation to enable the pre-trained LLM to handle TS data.
2308.08493_1896385_3	To estimate contamination of individual instances, we employ "guided instruction:" a prompt consisting of the dataset name, partition type, and the random-length initial segment of a reference instance, asking the LLM to complete it.
2308.08625_1896517_3	This paper aims to investigate different pre-training methods, such as pre-training the biomedical LM from scratch and pre-training it in a continued fashion.
2308.09308_1897200_1	However, existing methods that separately or asynchronously train the retriever and downstream model mainly due to the non-differentiability between the two parts, usually lead to degraded performance compared to end-to-end joint training.
2308.09454_1897346_2	To accomplish this, we train a high-capacity transformer model on a vast collection of highly-structured Irish folk melodies and analyze the musical qualities of the samples generated using distribution truncation sampling techniques.
2308.09954_1897846_7	Under our framework, we first ask the LLM to perform knowledge editing using raw documents, which provides a more convenient and universal approach compared to using factual triplets.
2308.10252_1898144_2	To address this, we present "LMTuner", a highly usable, integrable, and scalable system for training LLMs expeditiously and with minimal user-input.
2308.10335_1898227_7	Existing code evaluation benchmark and datasets focus on crafting small tasks such as programming questions in coding interviews, which however deviates from the problem that developers would ask LLM for real-world coding help.
2308.10792_1898684_1	Instruction tuning refers to the process of further training LLMs on a dataset consisting of \textsc{(instruction, output)} pairs in a supervised fashion, which bridges the gap between the next-word prediction objective of LLMs and the users' objective of having LLMs adhere to human instructions.
2308.10873_1898765_3	In this paper, we demonstrate a framework that leverages the average spiking rate of neurons at equilibrium to train a neuromorphic spiking LM using implicit differentiation technique, thereby overcoming the non-differentiability problem of spiking neural network (SNN) based algorithms without using any type of surrogate gradient.
2308.11042_1898934_8	To evaluate our proposed technique, we trained the HS-BERT model using sentences from RISC-V, OpenRISC, MIPS, OpenSPARC, and OpenTitan SoC documentation.
2308.11534_1899426_5	Our findings further demonstrate that our method introduces highly human-like questioning patterns and rich topic structures, which can teach the response model better than previous works in multi-round conversations.
2308.12060_1899952_4	This synthetic dataset facilitates training a specialized lightweight model for the KB.
2308.13911_1901803_0	  With the rise of foundation models, a new artificial intelligence paradigm has emerged, by simply using general purpose foundation models with prompting to solve problems instead of training a separate machine learning model for each problem.
2308.14328_1902220_1	The major paradigm to train a generative model is maximum likelihood estimation, which pushes the learner to capture and approximate the target data distribution by decreasing the divergence between the model distribution and the target distribution.
2308.14731_1902623_6	In this paper, we present an alternative: we train an open source model using sample output generated by GPT-3.5 in a process related to knowledge distillation.
2309.00237_1905041_2	We then use these synthetic notes to train our specialized clinical large language model, Asclepius.
2309.00240_1905044_6	Then, we instruct-tune an open-sourced language model, called LLaMA, using this evidence, enabling it to predict the veracity of the input claim more accurately.
2309.00267_1905071_1	RL from AI Feedback (RLAIF), introduced in Bai et al., offers a promising alternative that trains the reward model (RM) on preferences generated by an off-the-shelf LLM.
2309.01576_1906380_3	Firstly, we trained a prosody prediction model using 15 different PLMs.
2309.01940_1906744_5	The code correction task asks LLMs to fix real-world erroneous code segments with different error messages.
2309.02033_1906837_1	A data recipe is a mixture of data from different sources for training LLMs, which plays a vital role in LLMs' performance.
2309.03118_1907922_4	In this paper, we propose a paradigm, termed Knowledge Solver (KSL), to teach LLMs to search for essential knowledge from external knowledge bases by harnessing their own strong generalizability.
2309.03852_1908656_3	However, the algorithms, implementation, and practices for progressively training LLMs beyond 100B parameters remain underexplored.
2309.03876_1908680_7	To train the underlying model, we identified 11 different biases (political, geographic, gender, age) and derived an instruction-tuning corpus in which each answer was written by members of one of these demographics.
2309.03876_1908680_8	This paper presents OpinionGPT, illustrates how we trained the bias-aware model and showcases the web application (available at https://opiniongpt.informatik.hu-berlin.de).
2309.04550_1909354_3	Our method entails tasking an LLM to infer whether a patient has, or is at risk of, a particular condition on the basis of associated notes; if so, we ask the model to summarize the supporting evidence.
2309.05660_1910464_5	To reduce the hypothesis search space, we explore steps to filter the set of hypotheses to implement: we either ask the LLM to summarize them into a smaller set of hypotheses or ask human annotators to select a subset.
2309.05689_1910493_2	Socratic reasoning encourages LLMs to recursively discover, solve, and integrate problems while facilitating self-evaluation and refinement.
2309.05950_1910754_4	Specifically, we adopt an automatic hill-climbing procedure that converges to an effective prompt by evaluating the performance of current prompts and asking LLMs to refine them based on textual feedback, all within a conversational process without human-in-the-loop.
2309.06384_1911188_4	First, we build a dataset to train a critic model capable of evaluating the citation, correctness, and fluency of responses generated by LLMs in QA systems.
2309.07062_1911866_3	Crucially, during training, we ask the model to predict the instruction counts before and after optimization, and the optimized code itself.
2309.07623_1912427_5	We specifically employ a minimal dataset to instruct LLMs to recognize the intended output modality as directed by the instructions.
2309.08902_1913706_5	We introduce a template-generated dataset of sentence completion tasks that asks the model to select the most appropriate attribute to complete an evaluative statement about a person described as a member of a specific social group.
2309.09380_1914184_4	We first train a teacher model with hard labels to determine each sample's degree of relying on shortcuts.
2309.09380_1914184_6	This new ground truth label is used to train a more robust student model.
2309.09400_1914204_6	Consequently, there is a lack of open-source and readily usable dataset to effectively train LLMs in multiple languages.
2309.09582_1914386_3	Here, a powerful LLM is prompted with a task description to generate labeled data that can be used to train a downstream NLP model.
2309.10524_1915328_3	Specifically, we instruct an LLM to correct grammatical errors in an ASR hypothesis and use the LLM-derived representations to refine the output further.
2309.11696_1916500_4	While one can fully train an LLM for this objective, the resource consumption is unaffordable.
2309.11696_1916500_6	We contend that a mere memory module is inadequate and fully training an LLM can be excessively costly.
2309.12307_1917111_1	Typically, training LLMs with long context sizes is computationally expensive, requiring extensive training hours and GPU resources.
2309.12321_1917125_3	This paper makes a case that effective legal systems are the best way to address AI safety.
2309.12767_1917571_7	1) Furthest reasoning operates by masking previous reasoning path and generated queries for LLM, encouraging LLM generating chain of thought from scratch in each iteration.
2309.13550_1918354_7	To train our I-AI model, we utilize an eye gaze dataset to extract anatomical gaze information and generate ground truth heatmaps.
2309.13638_1918442_3	This approach - which we call the teleological approach - leads us to identify three factors that we hypothesize will influence LLM accuracy: the probability of the task to be performed, the probability of the target output, and the probability of the provided input.
2309.13734_1918538_1	Current stance detection methods rely predominantly on manual annotation of sentences, followed by training a supervised machine learning model.
2309.14459_1919263_4	We define a process of Envisioning by highlighting three misalignments: (1) knowing whether LLMs can accomplish the task, (2) how to instruct the LLM to do the task, and (3) how to evaluate the success of the LLM's output in meeting the goal.
2309.14482_1919286_3	However, there is a gap between language modeling and anomaly detection as the objective of training a sequential model via a language modeling loss is not directly related to anomaly detection.
2309.14530_1919334_4	By categorizing and elucidating these genres, the study aims to facilitate the development of empirical qualitative and quantitative research, fostering evidence-based approaches to address AI-related risks in healthcare effectively.
2309.15223_1920027_2	Here we present a method based on low-rank decomposition to train a rescoring BERT model and adapt it to new domains using only a fraction (0.08%) of the pretrained parameters.
2309.16082_1920886_3	Re-training the underlying model every time individuals would like to practice their rights to be forgotten is computationally expensive.
2309.16167_1920971_1	However, few studies have addressed the LLM threat and vulnerability from an ideology perspective, especially when they are increasingly being deployed in sensitive domains, e.g., elections and education.
2309.16697_1921501_1	Students can ask ChatGPT to complete a programming task, generating a solution from other people's work without proper acknowledgment of the source(s).
2309.17147_1921951_5	Therefore, given that some high quality annotations are necessary in order to asses whether an LLM introduces bias, we argue that it is probably preferable to train a bespoke model on these annotations than it is to use an LLM for annotation.
2310.00035_1922292_1	One approach commonly used in vision for alleviating this issue is a deep ensemble, which constructs an ensemble by training the same model multiple times using different random initializations.
2310.00052_1922309_1	We trained these AI classifiers with 2.4 million IMRPhenomXPHM waveforms that describe quasi-circular, spinning, non-precessing binary black hole mergers with component masses $m_{\{1,2\}}\in[3M_\odot, 50 M_\odot]$, and individual spins $s^z_{\{1,2\}}\in[-0.9, 0.9]$; and which include the $(\ell, |m|) = \{(2, 2), (2, 1), (3, 3), (3, 2), (4, 4)\}$ modes, and mode mixing effects in the $\ell = 3, |m| = 2$ harmonics.
2310.00052_1922309_2	We trained these AI classifiers within 22 hours using distributed training over 96 NVIDIA V100 GPUs in the Summit supercomputer.
2310.00525_1922782_5	Through a feedback mechanism, the user interacts with the algorithm, correcting the algorithm output to their preferences.
2310.00603_1922860_2	In this paper, we address model-agnostic explanations, proposing two approaches for counterfactual (CF) approximation.
2310.00646_1922903_1	In particular, the synthetic texts generated by LLMs may infringe the IP of the data being used to train the LLMs.
2310.00836_1923093_7	Utilizing LogiGLUE as a foundation, we have trained an instruction fine-tuned language model, resulting in LogiT5.
2310.01558_1923815_9	We empirically show that even 1,000 examples suffice to train the model to be robust to irrelevant contexts while maintaining high performance on examples with relevant ones.
2310.02407_1924664_9	To ensure that multiple modifications do not notably change the code representation, BugFarm analyzes the attention of the underlying model and instructs LLMs to only change the least attended locations (hard-to-detect).
2310.02439_1924696_3	We explicitly ask LLMs to mimic a novice learner by answering questions in a specific incorrect manner based on incomplete knowledge; and to mimic an expert tutor by identifying misconception(s) corresponding to an incorrect answer to a question.
2310.02527_1924784_2	In this paper, we exploit the idea of leveraging AI models in lieu of humans as the teacher to train student LLMs.
2310.03030_1925287_3	A text based description of 326000 molecules were collected using ChatGPT and used to train LLM to learn the representation of molecules.
2310.03051_1925308_5	Our analysis reveals the core challenge for LLMs lies in identifying the implicit inferences about mental states without being explicitly asked about as in ToMi, that lead to choosing the correct action in T4D. To bridge this gap, we introduce a zero-shot prompting framework, Foresee and Reflect (FaR), which provides a reasoning structure that encourages LLMs to anticipate future challenges and reason about potential actions.
2310.03214_1925471_9	Additionally, instructing the LLM to generate concise and direct answers helps reduce hallucination compared to encouraging more verbose answers.
2310.03266_1925523_4	Specifically, we train a single LLM on an aggregation of 169 tabular datasets with diverse targets and compare its performance against baselines that are trained on each dataset separately.
2310.03328_1925585_2	A pressing challenge is that it's not plausible to continue training LLMs of such scale on in-domain data.   
2310.04407_1926664_1	Current state-of-the-art text retrieval models leverage pre-trained large language models (LLMs) to achieve competitive performance, but training LLM-based retrievers via typical contrastive losses requires intricate heuristics, including selecting hard negatives and using additional supervision as learning signals.
2310.04680_1926937_1	We study two natural scaling techniques -- weight pruning and simply training a smaller or larger model, which we refer to as dense scaling -- and their effects on two core capabilities of LLMs: (a) recalling facts presented during pre-training and (b) processing information presented in-context during inference.
2310.04782_1927039_5	Therefore, we introduce uncertainty information as an intermediary variable that implicitly influences the model's behavior.
2310.05657_1927914_5	Last, we reveal that asking the LLM to explain its own ratings consistently improves the correlation between the ChatGPT and human ratings and pushes state-of-the-art (SoTA) correlations on two meta-evaluation datasets.
2310.05782_1928039_2	However, inherent disagreements due to the subjective nature of human preferences pose a significant challenge for training the reward model, resulting in a deterioration of the NLG performance.
2310.05782_1928039_5	To address this challenge, this paper proposes a novel approach, which employs a Bayesian framework to account for the distribution of disagreements among human preferences as training a preference model, and names it as d-PM.
2310.05782_1928039_6	Besides, considering the RL strategy's inefficient and complex training process over the training efficiency, we further propose utilizing the contrastive learning strategy to train the NLG model with the preference scores derived from the d-PM model.
2310.05824_1928081_2	We annotate random source words with pseudo-terminology translations obtained from word alignment to first train a terminology-aware model.
2310.05976_1928233_4	The population is evolved according to selection based on average payoff and mutation of genes by asking LLM to slightly modify the parent gene toward cooperative or selfish.
2310.06450_1928707_6	By training our model with this diversified feedback, we achieve enhanced alignment performance while using less training data.
2310.06552_1928809_4	Unsupervised pre-training alone does not guarantee precise knowledge of the ICD ontology and specialist clinical coding task, therefore we frame the task as information extraction, providing a description of each coded concept and asking the model to retrieve related mentions.
2310.07088_1929345_1	Nevertheless, instructing the model to break down the problem into smaller reasoning steps, or ensembling various generations through modifying decoding steps boosts performance.
2310.07554_1929811_7	Training such a unified model is non-trivial, as various retrieval tasks aim to capture distinct semantic relationships, often subject to mutual interference.
2310.07570_1929827_6	Our strategy outlines a productive process wherein a mathematician trains ChatGPT on pure mathematical concepts, steers ChatGPT towards generating computational topology code, and subsequently validates the generated code using established examples.
2310.07815_1930072_6	In response to the semantic supervision deficiency, we propose to train the model with a self-supervised document reconstruction objective.
2310.08433_1930690_2	We ask several LLMs and humans to write such a story and conduct a human evalution involving various criteria such as fluency, coherence, originality, humor, and style.
2310.08669_1930926_6	We train our model using human demonstrations and collision signals from the Habitat-Matterport 3D Dataset (HM3D).
2310.08754_1931011_1	Shedding light on this underexplored area, we conduct a comprehensive study on the influence of tokenizer choice on LLM downstream performance by training 24 mono- and multilingual LLMs at a 2.6B parameter scale, ablating different tokenizer algorithms and parameterizations.
2310.08922_1931179_3	In this approach, a multi-round feedback-revision mechanism is utilized to encourage LLMs to actively select appropriate revision actions guided by feedback information from the environment.
2310.09478_1931735_4	We propose using unique identifiers for different tasks when training the model.
2310.09755_1932012_5	By training the large language model with our approach, the necessity for generating binary segmentation masks, as suggested in the LISA paper arXiv:2308.00692, is effectively eliminated.
2310.09810_1932067_1	In this paper, we undertake a comprehensive study by instructing ChatGPT for four prevalent vulnerability tasks: function and line-level vulnerability prediction, vulnerability classification, severity estimation, and vulnerability repair.
2310.10035_1932292_4	Second, we propose syntactic augmentation to stimulate the model's intermediate thinking in two ways: syntactic prompting, which encourages the model to analyze the syntactic structure itself, and tool augmentation, which provides the model with the syntactic information generated by a parsing tool.
2310.10089_1932346_0	  Federated learning (FL), as an emerging distributed machine learning paradigm, allows a mass of edge devices to collaboratively train a global model while preserving privacy.
2310.10158_1932415_2	Therefore, we aim to train an agent with the profile, experience, and emotional states of a specific person instead of using limited prompts to instruct ChatGPT API.
2310.10158_1932415_3	In this work, we introduce Character-LLM that teach LLMs to act as specific people such as Beethoven, Queen Cleopatra, Julius Caesar, etc.
2310.10505_1932762_6	ReMax can save about 46% GPU memory than PPO when training a 7B model and enables training on A800-80GB GPUs without the memory-saving offloading technique needed by PPO.
2310.10962_1933219_3	Building upon this premise, we propose MultiCSR, a multi-level contrastive sentence representation learning framework that decomposes the process of prompting LLMs to generate a corpus for training base sentence embedding models into three stages (i.e., sentence generation, sentence pair construction, in-batch training) and refines the generated content at these three distinct stages, ensuring only high-quality sentence pairs are utilized to train a base contrastive learning model.
2310.11324_1933581_1	Because choices in prompt design can strongly influence model behavior, this design process is critical in effectively using any modern pre-trained generative language model.
2310.11998_1934255_1	This paper studies distributed learning in wireless data center networks, which contain a central edge server and multiple edge workers to collaboratively train a shared global model and benefit from parallel computing.
2310.12303_1934560_7	However, we also find that in most scenarios, back-translation gives even better results, at the cost of having to re-train the translation system.
2310.12523_1934780_3	To demonstrate its applicability, we show how a private mechanism could be integrated into the existing model for training LLMs to protect user privacy; specifically, we employed differential privacy and private training using Reinforcement Learning (RL).
2310.12558_1934815_7	To reduce over-reliance on LLMs, we ask LLMs to provide contrastive information - explain both why the claim is true and false, and then we present both sides of the explanation to users.
2310.13011_1935268_3	Through these simple steps, CPMs allow to control which properties of the preference data are used to train the preference model and to build it based on features that are believed to underlie the human preference judgment.
2310.13098_1935355_1	The library can download geospatial data, split a given area into micro-regions using multiple algorithms and train an embedding model using various architectures.
2310.13312_1935569_4	To address this issue, we collected a broad range of financial corpus and trained the Financial Language Model (FiLM) on these diverse datasets.
2310.13395_1935652_4	We propose a framework that allows reducing the calls to LLMs by caching previous LLM responses and using them to train a local inexpensive model on the SME side.
2310.13522_1935779_4	We then replay this experience to train the small model.
2310.13548_1935805_1	But human feedback may also encourage model responses that match user beliefs over truthful ones, a behaviour known as sycophancy.
2310.13625_1935882_7	While the scheme will not address all AI risks, it complements proposed solutions by allowing for a more precise and flexible approach to controlling the development of frontier AI models and unwanted AI proliferation.
2310.13671_1935928_1	*Data Synthesis* is a promising way to train a small model with very little labeled data.
2310.13714_1935971_1	We have developed a framework where we train a machine learning-based model using the neural contextual representations of the comments and their corresponding codes to predict the usefulness of code-comments pair and performance analysis with LLM-generated data with base data.
2310.14122_1936379_1	Existing prompts for pointwise LLM rankers mostly ask the model to choose from binary relevance labels like "Yes" and "No".
2310.15747_1938004_4	To address this problem while leveraging LLMs' prior on VideoQA, we propose a novel framework, Flipped-VQA, encouraging the model to predict all the combinations of $\langle$V, Q, A$\rangle$ triplet by flipping the source pair and the target label to understand their complex relationships, $\textit{i.e.}$, predict A, Q, and V given a VQ, VA, and QA pairs, respectively.
2310.15780_1938037_3	We propose GPTDroid, asking LLM to chat with the mobile apps by passing the GUI page information to LLM to elicit testing scripts, and executing them to keep passing the app feedback to LLM, iterating the whole process.
2310.15851_1938108_3	Safety training focuses on further training LLM to enhance its safety.
2310.15851_1938108_9	In the first stage, we enhance the model's ability to assess harmful content, and in the second stage, we instruct the model to consistently perform harmful content detection on its own responses.
2310.16088_1938345_3	Using these data, we train a simple and easily-interpretable machine learning model to regress effective temperatures and luminosities with high accuracy and precision comparable to the training data.
2310.16240_1938497_2	To reduce the number of parameters, we first train the model for a fixed small number of steps before pruning the experts based on their importance scores.
2310.16535_1938792_2	Existing studies utilize trigger sentences to encourage LLMs to concentrate on the relevant information but the trigger has limited effect on final answer prediction.
2310.16727_1938984_5	A key challenge is to systematically and transparently identify and address AI risks' root causes - also called AI hazards.
2310.16789_1939046_7	Min-K% Prob can be applied without any knowledge about the pretraining corpus or any additional training, departing from previous detection methods that require training a reference model on data that is similar to the pretraining data.
2310.17567_1939824_4	Using a list of $N$ skills the evaluator repeatedly picks random subsets of $k$ skills and asks the LLM to produce text combining that subset of skills.
2310.17591_1939848_6	Training performant LLMs on small amounts of data is a difficult but potentially informative task.
2310.18313_1940570_2	Specifically, we propose a new FP8 automatic mixed-precision framework for training LLMs.
2310.18343_1940600_4	We then pre-train our model, PHD, on a combination of synthetic scans and real historical newspapers from the 1700-1900 period.
2310.18357_1940614_4	We train the model on a dataset of authentic product descriptions from Walmart, one of the largest eCommerce platforms.
2310.18358_1940615_2	Traditional supervised learning usually requires training a model based on labeled data and then making predictions.
2310.18360_1940617_3	Using GPT4 as the editor, we find it can successfully edit trigger shortcut in samples that fool LLMs.
2310.19046_1941303_5	Specifically, in each generation of the evolutionary search, LMEA instructs the LLM to select parent solutions from current population, and perform crossover and mutation to generate offspring solutions.
2310.19204_1941461_3	We ask ChatGPT to generate candidates of metamorphic relations (MRs), which are basically necessary properties of the object program and which traditionally require human intelligence to identify.
2310.20440_1942697_5	We evaluate the utility of the dataset to train AI models using named-entity recognition, segmentation of figure captions into their constituent panels, and a novel context-dependent semantic task assessing whether an entity is a controlled intervention target or a measurement object.
2310.20444_1942701_1	Thus, it is of major importance to know which stakeholders influence AI research.
2310.20487_1942744_5	Subsequently, it constructs a sequence-recovery prompt that encourages the LLM to generate textual descriptions for items within the interaction sequence.
2310.20563_1942820_4	Third, we describe three policy proposals that would meaningfully address the threats from advanced AI: (1) establishing a Multinational AGI Consortium to enable democratic oversight of advanced AI (MAGIC), (2) implementing a global cap on the amount of computing power used to train an AI system (global compute cap), and (3) requiring affirmative safety evaluations to ensure that risks are kept below acceptable levels (gating critical experiments).
2311.00257_1943224_6	Evaluations demonstrate up to 52\% Model FLOPs Utilization (MFU) when training the LLaMA-based model on 1024 GPUs, resulting in a 1.56 times improvement in training throughput compared to newly proposed systems like MiCS and ZeRO++.
2311.00522_1943489_3	This new rendering strategy also makes it possible to train a more compact model with only 22M parameters that performs on par with the original 86M parameter model.
2311.01041_1944008_4	Instead of attempting to answer all questions, we explore a refusal mechanism that instructs LLMs to refuse to answer challenging questions in order to avoid errors.
2311.01469_1944436_3	In this study, we introduce a novel preliminary methodology to train a language model on generated labels for greenwashing risk.
2311.01918_1944885_6	To address LLMs' limitations regarding personalization and complex clinical reasoning, the paper explores the emerging development of LLM-powered autonomous agents for healthcare.
2311.01981_1944948_4	In this paper, focusing on easing the prompt forgetting during generation, we proposed an architecture to teach the model memorizing prompt during generation by synthetic gradient.
2311.02105_1945072_4	Can we train LLMs on harmful data without learning harmful behaviors?
2311.02433_1945400_6	To provide some first evidence on this hypothesis, we ask ChatGPT to annotate 106 C programs with loop invariants.
2311.03920_1946887_2	Our system integrates six diverse sensors to gather measurement parameters, which subsequently train a 1D CNN model for activity recognition.
2311.04547_1947514_5	This suggests that modelling processing effort and linguistic competence may require an approach different from training GPT-like LMs on a developmentally plausible corpus.
2311.06180_1949147_3	In stage one, we used a small portion (n=20) of the student responses on one conceptual question to iteratively train GPT.
2311.06377_1949344_4	Our emulation strategy involved using the initial five words of each PubMed abstract as a prompt and instructing the model to expand the content up to the original abstract's length.
2311.06985_1949952_9	For example, Teach-Back enables a 7B model to teach the much larger GPT-3.5 in context, surpassing human teachers by around 5% in test accuracy on medical question answering.
2311.07014_1949981_5	We achieve this via an audio-language knowledge distillation framework, where we transfer acoustic and paralinguistic information from a pre-trained speech embedding (OpenAI Whisper) teacher model to help train a student language model on an audio-text dataset.
2311.07594_1950561_6	The study surveys existing modality alignment methods for MLLMs, categorizing them into four groups: (1) Multimodal Converter, which transforms data into a format that LLMs can understand; (2) Multimodal Perceiver, which improves how LLMs percieve different types of data; (3) Tool Learning, which leverages external tools to convert data into a common format, usually text; and (4) Data-Driven Method, which teaches LLMs to understand specific data types within datasets.
2311.08105_1951072_1	However, standard approaches to training LLM require a large number of tightly interconnected accelerators, with devices exchanging gradients and other intermediate states at each optimization step.
2311.08147_1951114_3	However, the external information from the Internet may include counterfactual information that will confuse the model and lead to an incorrect response.
2311.08213_1951180_5	The first stage pre-trains the student model on a large number of filtered multi-modal datasets.
2311.08369_1951336_2	When users instruct LLMs to generate texts, the instruction can include different constraints depending on the user's need.
2311.08662_1951629_7	We employ the Tabular-NLI task to showcase how our proposed strategies adeptly train a robust model, enabling it to address diverse perturbations while maintaining accuracy on the original dataset.
2311.08844_1951811_6	To train our model, we introduce a new method for automatically acquiring data from available English datasets.
2311.08877_1951844_3	We first study eliciting confidence linguistically -- asking an LLM for its confidence in its answer -- which performs reasonably (80.5% AUC on GPT-4 averaged across 12 question-answering datasets -- 7% above a random baseline) but leaves room for improvement.
2311.09136_1952103_4	This method trains the model to prioritize the best responses from a pool of candidates created for a particular task.
2311.09613_1952580_2	Our approach is to (a) define the new task of explanation critiquing - identifying and categorizing any main flaw in an explanation and providing suggestions to address the flaw, (b) create a sizeable, human-verified dataset for this task, and (c) train an open-source, automatic critique model (called Digital Socrates) using this data.
2311.09632_1952599_8	We identify key factors that influence the trade-off between knowledge acquisition and retention, thereby advancing our understanding of how to train LMs in a continually evolving environment.
2311.09718_1952685_1	To properly understand the properties and innate personas of LLMs, researchers have performed studies that involve using prompts in the form of questions that ask LLMs about particular opinions.
2311.10844_1953811_4	Open datasets were employed to train AI models, assess their performance, and analyze their capabilities and limitations in addressing the specific challenges associated with fetal brain fMRI segmentation.
2311.10934_1953901_3	We present a process to assemble such a case repository by: 1) gathering a set of ``seed'' cases -- questions one may ask an AI system -- in a particular domain, 2) eliciting domain-specific key dimensions for cases through workshops with domain experts, 3) using LLMs to generate variations of cases not seen in the wild, and 4) engaging with the public to judge and improve cases.
2311.10947_1953914_4	The primary concept involves training LLMs to comprehend and emulate the behavior of target recommender models.
2311.11045_1954012_2	Research on training small LMs has often relied on imitation learning to replicate the output of more capable models.
2311.11045_1954012_4	We seek to teach small LMs to employ different solution strategies for different tasks, potentially different from the one used by the larger model.
2311.11202_1954169_3	This study focuses on the credibility of real-world datasets, including the popular benchmarks Jigsaw Civil Comments, Anthropic Harmless & Red Team, PKU BeaverTails & SafeRLHF, that can be used for training a harmless language model.
2311.11628_1954595_0	  We present a method to integrate Large Language Models (LLMs) and traditional tabular data classification techniques, addressing LLMs challenges like data serialization sensitivity and biases.
2311.11981_1954948_3	It is unclear whether these labels can be used for training a local model without expensive annotation checking by in-house experts.
2311.12188_1955155_4	In particular, we ask ChatGPT to give examples of how to use Bayes rule for medical diagnosis.
